author,published,site_url,label,title_without_stopwords,text_without_stopwords
Barracuda Brigade,2016-10-26T21:41:00.000+03:00,100percentfedup.com,Real,Muslims busted for stealing millions in government benefits.,"Money, plus interest. The entire group should be deported ASAP. For years, we have been busting those stealing from government taxpayers. Somalis stole millions in government benefits over several months. We've seen numerous cases of Muslim refugees and immigrants committing fraud, scamming the system. It's out of control."
Reasoning With Facts,2016-10-29T08:47:11.259+03:00,100percentfedup.com,Real,Attorney General Loretta Lynch pleads the fifth.,"Attorney General Loretta Lynch plead the fifth. The administration is blocking a congressional probe into cash payments to Iran. Of course, she needs to plead the fifth - she can't recall, refuses to answer, or plain deflects every question. It's straight corruption at its finest. They're talking about covering their ass. Loretta Lynch plead the fifth to avoid incriminating herself regarding payments to Iran. Corrupt to the core. Attorney General Loretta Lynch is declining to comply with an investigation by leading members of Congress into the Obama administration's secret efforts to send Iran billions in cash, prompting accusations that Lynch has pleaded the fifth amendment to avoid incriminating herself. The payments to lawmakers and communications obtained by the Washington beacon show that Sen. Marco Rubio (R-Fla.) and Rep. Mike Pompeo (R-Kan.) initially presented Lynch with a series of questions about the cash payment to Iran that was approved and delivered in October. In response, Assistant Attorney General Peter Kadzik responded on Lynch's behalf, refusing to answer the questions and informing the lawmakers that they are barred from publicly disclosing any information about the cash payment, which was bound up in a ransom deal aimed at freeing American hostages from Iran. The response from the attorney general's office is unacceptable and provides evidence that Lynch has essentially plead the fifth to refuse to respond to inquiries about her role in providing cash to the world's foremost state sponsor of terrorism, according to Rubio and Pompeo in a follow-up letter to Lynch."
Barracuda Brigade,2016-10-31T01:41:49.479+02:00,100percentfedup.com,Real,Weiner cooperating with FBI in Hillary investigation.,"Red State and Fox report that Anthony Weiner is cooperating with the FBI. The reopened lefties have reopened the investigation into Hillary Clinton's classified emails. Chris Wallace reports on a panel segment that aired with colleague Bret Baier saying this."
Fed Up,2016-11-01T05:22:00.000+02:00,100percentfedup.com,Real,Pin drop speech by father whose daughter was kidnapped by ISIS who voted for Donald Trump.,"Kayla Mueller was a prisoner tortured by ISIS with no chance of release. A horrific situation. Her father gave a pin drop speech with a heartfelt hug. Carl Mueller believes Donald Trump will be a great president. Epic speech."
Fed Up,2016-11-01T21:56:00.000+02:00,100percentfedup.com,Real,Fantastic! Trump's 7-point plan to reform healthcare begins with a bombshell.,"Healthcare reform will make America great again, since all Americans suffer under the incredible economic burden of the Affordable Care Act (Obamacare). This legislation was passed through partisan votes in both the House and Senate, and signed into law by the most divisive and partisan president in American history. It has tragically and predictably resulted in runaway costs, websites that don't work, greater rationing of care, higher premiums, less competition, and fewer choices. Obamacare has raised economic uncertainty for every single person residing in this country, and it appears that Obamacare will collapse under the weight of its own damage. Done by the Democrats, President Obama, and aided by the Supreme Court, this repair work - unless a new president and Republican Congress make an effort - will require much-needed market reforms to the healthcare industry. Congress must act as the elected representatives in both the House and Senate to repeal Obamacare. The elected representatives must eliminate the individual mandate. No person should be required to buy insurance unless they want to. They should modify existing law that inhibits the sale of health insurance across state lines. As long as the plan purchased complies with state requirements, any vendor ought to be able to offer insurance in any state, allowing true competition into the insurance market, which will bring down insurance costs and consumer satisfaction. They should allow individuals to fully deduct health insurance premium payments from their tax returns under the current tax system. Businesses are allowed to take these deductions, so why wouldn't Congress allow individuals the same exemptions? They should allow individuals to use health savings accounts (HSAs), enabling market insurance coverage opportunities for companies and individuals who also slip through the cracks and simply cannot afford insurance. They should require price transparency from all healthcare providers, especially doctors and healthcare organizations that receive tax dollars from the government, enabling basic Medicaid to ensure that no person requiring healthcare coverage is left behind."
Barracuda Brigade,2016-11-02T16:31:28.550+02:00,100percentfedup.com,Real,Hillary goes berserk on protester at rally.,"Hillary goes berserk and explodes on a 'Bill is a rapist' protester at her rally. The irony is that as the enabler of Bill's escapades, she's projecting. It's pathetic that she's dragging the integrity-challenged Alicia Machado onto the stage at her rally in Florida. The Gateway Pundit reports that Democratic Party presidential nominee Hillary Clinton angrily reacted to a protester shouting 'Bill Clinton is a rapist' at her campaign rally in Fort Lauderdale, Florida, saying it was 'sick' and represents the 'negative, divisive vision and behavior' of Donald Trump. Reports show that a protester interrupted Hillary Clinton by shouting 'Bill Clinton is a rapist,' and Clinton fired back, calling it 'sick and negative.' Josh Haskell (@JoshBHaskell) tweeted that someone interrupts @HillaryClinton by yelling 'Bill Clinton is a rapist,' and Clinton responds that this is divisive. NBC's Jamie Guirola (@JamieNBC) reported: 'Here's Hillary going berserk as a protester starts screaming and shouting.' She was yelling and railing, according to John Binder (@JxhnBinder)."
Fed Up,2016-11-04T19:40:00.000+02:00,100percentfedup.com,Real,NYPD makes arrests in Weiner case - Hillary visited pedophile island at least 6 times - money laundering - underage sex - pay-for-play - proof of inappropriate handling of classified information.,"NYPD makes arrests in the Weiner case. Hillary visited pedophile island at least 6 times. Money laundering, underage sex, pay-for-play, and proof of inappropriate handling of classified information have been revealed. Blackwater USA founder and retired Navy SEAL Erik Prince claims to have insider knowledge of the investigation. He explains why FBI Director James Comey had to announce the reopening of the investigation into Clinton's server in light of the Weiner-gate sexting scandal. The NYPD is investigating this through subpoena and warrant. They searched Weiner's laptop and found emails and other material pertaining to inappropriate sexting by this guy. Prince claimed that the State Department emails were damning - criminal money laundering. The fact that Hillary went to that sex island with convicted pedophile Jeffrey Epstein - Bill Clinton went there 20 times, Hillary Clinton went at least 6 times. These aren't just garbage emails about criminal activity by Hillary and her immediate circle. Democratic members of Congress find it disgusting that the FBI isn't going public. If they don't reopen this investigation, they don't do anything, and there won't be timely indictments, Prince explained. He believes he is well-placed to make these claims."
Fed Up,2016-11-05T01:19:00.000+02:00,100percentfedup.com,Real,Wow! Whistleblower tells of chilling massive voter fraud - Trump campaign readies lawsuit in Secretary of Elections critical district.,"NYPD arrests in Weiner case - Hillary visited pedophile island at least 6 times - money laundering, underage sex, pay-for-play, proof of inappropriate handling of classified information. Amazing citizen journalist Mike Cernovich is in danger. Florida residents are complaining they're getting absentee ballots. Chelsey Marie Smith, working full-time at Broward County Supervisor of Elections office, blew the whistle on a voter fraud scheme on Periscope. Voting fraud has been uncovered in Florida. Mag-ax Mike Cernovich reports that Cernovich and Florida state attorney are actively investigating the fraud case, which involves Secretary of Elections Brenda Snipes."
Fed Up,2016-11-06T23:54:00.000+02:00,100percentfedup.com,Real,Clinton cleared - was this coordinated as a last-minute trick to energize Hillary's base?,"Limbaugh says revelations from WikiLeaks material are starting to hurt the Clintons, so renewed interest in the FBI investigation into her private server is a fruitless distraction. The case should 'drain the swamp.' FBI Director James Comey announced that the agency has reviewed Hillary Clinton's emails discovered in an unrelated case and concluded not to prosecute Clinton. The FBI's original investigation into her private server stands, Comey informed Congress in October. The agency found in an unrelated case additional emails from Clinton's time running the State Department. Since Comey's letter, FBI investigative teams have been working around the clock to process this volume of emails. Comey sent a follow-up letter to Congress saying the communications from Hillary Clinton as Secretary of State have not changed the conclusion of the case. The emails were purportedly from ex-New York Democratic Rep. Anthony Weiner, using a laptop he shared with his estranged wife, Clinton aide Huma Abedin, for sexting with an apparently underage female."
Fed Up,2016-11-07T02:43:00.000+02:00,100percentfedup.com,Real,Evil Hillary supporters yell 'F*ck Trump' and burn truck of daddy fishing with son for Trump bumper stickers.,"Sick and evil - when laws mean nothing, they mean nothing. If she becomes president, this regime in California will get worse. A stranger hurled expletives and tried to set a truck on fire after seeing a pro-Donald Trump sticker on the bumper. Hao Lee and his 7-year-old son were fishing in pleasant Sacramento when they parked their white Dodge Ram truck with a pair of Trump stickers on the bumper by Garden Highway. After a couple hours of fishing and yelling at Trump supporters, Lee told KTXL that he and his son were 100 yards from the truck, which was parked at the edge of the river, when he was fed up."
